ticker,company,exchange,key_indian_origin_leader,role,event,note
RBRK,Rubrik,NYSE,Bipul Sinha / Arvind Nithrakashyap,Co-founders,IPO Apr-2024,Indian-origin founders; track lock-up sales
ALAB,Astera Labs,NASDAQ,Jitendra Mohan / Sanjay Gajendra,Co-founders,IPO Mar-2024,AI connectivity; sharp post-IPO re-rate
ZS,Zscaler,NASDAQ,Jay Chaudhry,Founder & CEO,Listed,"Track CFO/VP insiders too, not just founder"
ANET,Arista Networks,NYSE,Jayshree Ullal,Chair (ex-CEO),Listed,Long-tenured insiders with recurring sales
SNOW,Snowflake,NYSE,Sridhar Ramaswamy,CEO,CEO since 2024,Ex-Neeva; new RSU grants
MDB,MongoDB,NASDAQ,Dev Ittycheria,CEO,Listed,Regular Form 4 sales
NTNX,Nutanix,NASDAQ,Rajiv Ramaswami,CEO,Listed,Insider transactions
PANW,Palo Alto Networks,NASDAQ,Nikesh Arora,Chairman & CEO,Listed,Very large RSU comp
WDAY,Workday,NASDAQ,Aneel Bhusri,"Co-founder, Chair",Listed,Founder stake
W,Wayfair,NYSE,Niraj Shah,Co-founder & CEO,Listed,Founder stake
CTSH,Cognizant,NASDAQ,Ravi Kumar S,CEO,CEO since 2023,Equity comp ramping
WNS,WNS Holdings,NYSE,Keshav Murugesh,Group CEO,Listed,NYSE-listed Indian BPM
FRSH,Freshworks,NASDAQ,Girish Mathrubootham,"Founder, Chair",IPO 2021,First Indian SaaS on Nasdaq
