name,role,company,diaspora_category,city,country,region,industry,exchange_ticker,event_type,event_date,event_value_usd_m,stake_pct,est_liquid_wealth_usd_m,liquidity_signal,public_source,source_url,addressability,diaspora_fit,geo_fit
Bipul Sinha,Co-founder & CEO,Rubrik,OCI / Indian-origin,"Palo Alto, CA",USA,USA & Canada,Cybersecurity / Data security,NYSE: RBRK,ipo,2024-04,752,7.6,900,IPO Apr-2024; ~7.6% founder stake now public & vesting,Rubrik S-1 / CNBC,https://www.cnbc.com/2024/04/01/rubrik-files-to-go-public.html,4,5,5
Arvind Nithrakashyap,Co-founder & CTO,Rubrik,OCI / Indian-origin,"Palo Alto, CA",USA,USA & Canada,Cybersecurity / Data security,NYSE: RBRK,ipo,2024-04,752,6.7,780,IPO Apr-2024; ~6.7% founder stake,Rubrik S-1 / Blocks&Files,https://blocksandfiles.com/2024/04/15/rubrik-ipo-to-raise-up-to-713-million/,4,5,5
Soham Mazumdar,Co-founder,Rubrik,OCI / Indian-origin,"San Francisco, CA",USA,USA & Canada,Cybersecurity,NYSE: RBRK,ipo,2024-04,752,,300,IPO Apr-2024; founding engineer equity,Rubrik S-1,https://en.wikipedia.org/wiki/Rubrik,3,5,5
Arvind Jain,Co-founder (Rubrik) & Founder/CEO (Glean),Glean / Rubrik,OCI / Indian-origin,"Palo Alto, CA",USA,USA & Canada,AI / Enterprise search,Private (Glean) + NYSE: RBRK,funding_round,2025-06,260,7.0,1000,DOUBLE signal: ~7% Rubrik stake (now public) + Glean AI unicorn mega-round,TechCrunch / Rubrik S-1,https://techcrunch.com/2024/04/25/rubriks-shares-climb-20-in-its-public-debut,4,5,5
Jitendra Mohan,Co-founder & CEO,Astera Labs,OCI / Indian-origin (verify),"Santa Clara, CA",USA,USA & Canada,Semiconductors / AI connectivity,NASDAQ: ALAB,ipo,2024-03,713,,1200,IPO Mar-2024 at $5.5B; stock re-rated sharply post-IPO,Astera S-1 / INO,https://www.ino.com/blog/2024/03/intel-backed-astera-labs-goes-public/,4,4,5
Sanjay Gajendra,"Co-founder, President & COO",Astera Labs,OCI / Indian-origin (verify),"Santa Clara, CA",USA,USA & Canada,Semiconductors / AI connectivity,NASDAQ: ALAB,ipo,2024-03,713,,800,IPO Mar-2024; co-founder equity now public,Astera S-1,https://en.wikipedia.org/wiki/Astera_Labs,4,4,5
Sunny Madra,President (Groq),Groq / NVIDIA,OCI / Indian-origin (verify),"Mountain View, CA",USA,USA & Canada,AI chips,Private (NVIDIA deal),acquisition,2025-12,20000,,300,NVIDIA $20B licensing/asset deal acqui-hired Groq leadership Dec-2025,Tech Startups,https://techstartups.com/2025/12/25/nvidia-strikes-20b-licensing-and-asset-deal-with-ai-chip-startup-groq/,3,3,5
Sridhar Ramaswamy,"CEO (ex-founder, Neeva)",Snowflake,OCI / Indian-origin,"Bay Area, CA",USA,USA & Canada,Data cloud / AI,NYSE: SNOW,new_insider,2024-02,,,150,Became Snowflake CEO Feb-2024 after Neeva sale; large RSU + Neeva proceeds,news,https://www.snowflake.com,4,5,5
Dev Ittycheria,President & CEO,MongoDB,OCI / Indian-origin,"New York, NY",USA,USA & Canada,Database / Cloud,NASDAQ: MDB,promoter_holding,2024-01,,,200,Long-tenured CEO; recurring Form 4 sales = realised liquidity,SEC EDGAR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=mongodb,4,5,5
Rajiv Ramaswami,President & CEO,Nutanix,OCI / Indian-origin,"San Jose, CA",USA,USA & Canada,Cloud infrastructure,NASDAQ: NTNX,promoter_holding,2024-01,,,90,CEO since 2020; regular insider transactions,SEC EDGAR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=nutanix,4,5,5
Ravi Kumar S,CEO,Cognizant,OCI / Indian-origin,"Teaneck, NJ",USA,USA & Canada,IT services,NASDAQ: CTSH,promoter_holding,2023-01,,,60,CEO since Jan-2023; equity comp + Infosys-era wealth,SEC EDGAR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=cognizant,4,5,5
Keshav Murugesh,Group CEO,WNS Holdings,OCI / Indian-origin,Mumbai / NY,India,India,BPM / IT services,NYSE: WNS,promoter_holding,2023-01,,,80,Long-tenured CEO of NYSE-listed WNS; disclosed holdings,SEC EDGAR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=wns,3,5,4
Peyush Bansal,Co-founder & CEO,Lenskart,Resident India,Gurugram,India,India,Consumer / Retail tech,NSE/BSE: LENSKART,ipo,2025-10,,,500,2025 IPO; founder stake now listed & partially monetised,Inc42 IPO Tracker,https://inc42.com/features/indian-startup-ipo-tracker-2026/,3,5,5
Lalit Keshre,Co-founder & CEO,Groww,Resident India,Bengaluru,India,India,Fintech / Broking,NSE/BSE: GROWW,ipo,2025-11,,,400,2025 IPO; founder equity listed,Inc42 IPO Tracker,https://inc42.com/features/indian-startup-ipo-tracker-2026/,3,5,5
Tarun Mehta,Co-founder & CEO,Ather Energy,Resident India,Bengaluru,India,India,EV / Mobility,NSE/BSE: ATHER,ipo,2025-05,,,250,2025 IPO; founder stake listed,Inc42 IPO Tracker,https://inc42.com/features/indian-startup-ipo-tracker-2026/,3,5,5
Alakh Pandey,Co-founder & CEO,PhysicsWallah,Resident India,Noida,India,India,Edtech,NSE/BSE: PW,ipo,2025-11,,,300,"2025 IPO; founder-led edtech, fresh public equity",Inc42 IPO Tracker,https://inc42.com/features/indian-startup-ipo-tracker-2026/,3,5,5
Abhiraj Singh Bhal,Co-founder & CEO,Urban Company,Resident India,Gurugram,India,India,Consumer services,NSE/BSE: URBANCO,ipo,2025-09,,,200,2025 IPO; co-founder equity now public,Inc42 IPO Tracker,https://inc42.com/features/indian-startup-ipo-tracker-2026/,3,5,5
Vidit Aatrey,Co-founder & CEO,Meesho,Resident India,Bengaluru,India,India,E-commerce,NSE/BSE: MEESHO,ipo,2025-12,,,300,2025 IPO; founder stake listed,Inc42 IPO Tracker,https://inc42.com/features/indian-startup-ipo-tracker-2026/,3,5,5
LuLu Retail insiders (post-IPO),Founders/execs,LuLu Retail Holdings,NRI,Abu Dhabi,UAE,Gulf,Retail,ADX: LULU,ipo,2024-11,1430,,200,Nov-2024 ADX IPO; senior NRI execs hold vested equity (enrich individuals),ADX / news,https://www.adx.ae,3,4,5
